"Day ","Items ","Note ","Amount "
"90","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"90","Human Resource Expense","Counselled","2000"
"90","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"90","Salary Expense","Cash Payment - Salary Expense","40393"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14504","65"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14506","586"
"90","Depreciation Expense","Non-Cash Expense - Depreciation","20000"
"90","Rental Expense","Cash Payment - Rental - Chicago","4800"
"90","Rental Expense","Cash Payment - Rental - New York","5360"
"90","Rental Expense","Cash Payment - Rental - Detroit","2000"
"90","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"90","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"90","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"90","Rental Expense","Cash Payment - Rental - Miami","2240"
"89","Human Resource Expense","Counselled","2000"
"89","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"89","Salary Expense","Cash Payment - Salary Expense","39799"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14335","356"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 357","15000"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 367","15000"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 377","15000"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 380","15000"
"89","Depreciation Expense","Non-Cash Expense - Depreciation","25000"
"89","Rental Expense","Cash Payment - Rental - Chicago","4800"
"89","Rental Expense","Cash Payment - Rental - New York","5360"
"89","Rental Expense","Cash Payment - Rental - Detroit","2000"
"89","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"89","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"89","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"89","Rental Expense","Cash Payment - Rental - Miami","2240"
"88","Human Resource Expense","Counselled","2000"
"88","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"88","Salary Expense","Cash Payment - Salary Expense","39799"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14131","352"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14132","292"
"88","Depreciation Expense","Non-Cash Expense - Depreciation","30000"
"88","Rental Expense","Cash Payment - Rental - Chicago","4800"
"88","Rental Expense","Cash Payment - Rental - New York","5360"
"88","Rental Expense","Cash Payment - Rental - Detroit","2000"
"88","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"88","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"88","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"88","Rental Expense","Cash Payment - Rental - Miami","2240"
"87","Human Resource Expense","Counselled","2000"
"87","Human Resource Expense","Counselled","2000"
"87","Human Resource Expense","Counselled","2000"
"87","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"87","Salary Expense","Cash Payment - Salary Expense","39781"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13944","308"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13954","416"
"87","Depreciation Expense","Non-Cash Expense - Depreciation","30000"
"87","Rental Expense","Cash Payment - Rental - Chicago","4800"
"87","Rental Expense","Cash Payment - Rental - New York","5360"
"87","Rental Expense","Cash Payment - Rental - Detroit","2000"
"87","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"87","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"87","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"87","Rental Expense","Cash Payment - Rental - Miami","2240"
"86","Human Resource Expense","Counselled","2000"
"86","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"86","Salary Expense","Cash Payment - Salary Expense","39655"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13764","42"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13777","30"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13779","22"
"86","Depreciation Expense","Non-Cash Expense - Depreciation","30000"
"86","Rental Expense","Cash Payment - Rental - Chicago","4800"
"86","Rental Expense","Cash Payment - Rental - New York","5360"
"86","Rental Expense","Cash Payment - Rental - Detroit","2000"
"86","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"86","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"86","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"86","Rental Expense","Cash Payment - Rental - Miami","2240"
"85","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"85","Human Resource Expense","Counselled","2000"
"85","Human Resource Expense","Cash Payment - Staff Recruiting","15000"
"85","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"85","Salary Expense","Cash Payment - Salary Expense","39601"
"85","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13578","321"
"85","Depreciation Expense","Non-Cash Expense - Depreciation","30000"
"85","Rental Expense","Cash Payment - Rental - Chicago","4800"
"85","Rental Expense","Cash Payment - Rental - New York","5360"
"85","Rental Expense","Cash Payment - Rental - Detroit","2000"
"85","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"85","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"85","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"85","Rental Expense","Cash Payment - Rental - Miami","2240"
"84","Human Resource Expense","Counselled","2000"
"84","Human Resource Expense","Counselled","2000"
"84","Human Resource Expense","Counselled","2000"
"84","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"84","Salary Expense","Cash Payment - Salary Expense","38626"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13227","364"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13404","348"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 314","15000"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 333","15000"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 402","15000"
"84","Depreciation Expense","Non-Cash Expense - Depreciation","30000"
"84","Rental Expense","Cash Payment - Rental - Chicago","4800"
"84","Rental Expense","Cash Payment - Rental - New York","5360"
"84","Rental Expense","Cash Payment - Rental - Detroit","2000"
"84","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"84","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"84","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"84","Rental Expense","Cash Payment - Rental - Miami","2240"
"83","Human Resource Expense","Counselled","2000"
"83","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"83","Salary Expense","Cash Payment - Salary Expense","38582"
"83","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13226","352"
"83","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"83","Rental Expense","Cash Payment - Rental - Chicago","4800"
"83","Rental Expense","Cash Payment - Rental - New York","5360"
"83","Rental Expense","Cash Payment - Rental - Detroit","2000"
"83","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"83","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"83","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"83","Rental Expense","Cash Payment - Rental - Miami","2240"
"82","Human Resource Expense","Staff Transfer","15000"
"82","Human Resource Expense","Counselled","2000"
"82","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"82","Salary Expense","Cash Payment - Salary Expense","38504"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12876","261"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13001","307"
"82","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"82","Rental Expense","Cash Payment - Rental - Chicago","4800"
"82","Rental Expense","Cash Payment - Rental - New York","5360"
"82","Rental Expense","Cash Payment - Rental - Detroit","2000"
"82","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"82","Rental Expense","Cash Payment - Rental - San Francisco","4480"
"82","Rental Expense","Cash Payment - Rental - Washington, D.C.","4880"
"82","Rental Expense","Cash Payment - Rental - Miami","2240"
"81","Human Resource Expense","Counselled","2000"
"81","Human Resource Expense","Counselled","2000"
"81","Human Resource Expense","Counselled","2000"
"81","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"81","Salary Expense","Cash Payment - Salary Expense","38112"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12855","562"
"81","Depreciation Expense","Non-Cash Expense - Depreciation","35000"
"81","Rental Expense","Cash Payment - Rental - Chicago","4800"
"81","Rental Expense","Cash Payment - Rental - New York","5360"
"81","Rental Expense","Cash Payment - Rental - Detroit","2000"
"81","Rental Expense","Cash Payment - Rental - Los Angeles","2160"
"81","Rental Expense","Cash Payment - Rental - San Francisco","4480"
