"Day ","Items ","Note ","Amount "
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14412 ","-154980"
"90","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14412 ","-51000"
"90","Human Resource Expense","Cash Payment - Staff Recruiting","-15000"
"90","Wholesales (B2B)","Revenue - B2B SO ID: 11951","1342500"
"90","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 11951","-72000"
"90","Sales E Commerce","Revenue - ECM SO ID: 14335","11878"
"90","Machines","Asset Disposed","148500"
"90","Human Resource Expense","Counselled","-2000"
"90","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"90","Salary Expense","Cash Payment - Salary Expense","-40393"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14504","-65"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14506","-586"
"90","Retail","Revenue - Retail Sales New York - Sparkling Wine","16146"
"90","Retail","Revenue - Retail Sales New York - Red Wine","34038"
"90","Retail","Revenue - Retail Sales New York - White Wine","19836"
"90","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","10200"
"90","Retail","Revenue - Retail Sales Detroit - Red Wine","14924"
"90","Retail","Revenue - Retail Sales Detroit - White Wine","10230"
"90","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","10422"
"90","Retail","Revenue - Retail Sales Los Angeles - Red Wine","10640"
"90","Retail","Revenue - Retail Sales Los Angeles - White Wine","10416"
"90","Retail","Revenue - Retail Sales San Francisco - Sparkling Wine","3640"
"90","Retail","Revenue - Retail Sales San Francisco - Red Wine","6992"
"90","Retail","Revenue - Retail Sales San Francisco - White Wine","4560"
"90","Retail","Revenue - Retail Sales Washington, D.C. - Sparkling Wine","2736"
"90","Retail","Revenue - Retail Sales Washington, D.C. - Red Wine","5400"
"90","Retail","Revenue - Retail Sales Washington, D.C. - White Wine","3525"
"90","Retail","Revenue - Retail Sales Miami - Sparkling Wine","4284"
"90","Retail","Revenue - Retail Sales Miami - Red Wine","4572"
"90","Retail","Revenue - Retail Sales Miami - White Wine","4500"
"90","Services","Revenue - Service Sales Order ID: 13410","200000"
"90","Rental Expense","Cash Payment - Rental - Chicago","-4800"
"90","Rental Expense","Cash Payment - Rental - New York","-5360"
"90","Rental Expense","Cash Payment - Rental - Detroit","-2000"
"90","Rental Expense","Cash Payment - Rental - Los Angeles","-2160"
"90","Rental Expense","Cash Payment - Rental - San Francisco","-4480"
"90","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4880"
"90","Rental Expense","Cash Payment - Rental - Miami","-2240"
"89","Sales E Commerce","Revenue - ECM SO ID: 14131","11720"
"89","Sales E Commerce","Revenue - ECM SO ID: 14132","9734"
"89","Human Resource Expense","Counselled","-2000"
"89","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14508 ","-258300"
"89","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 14508 ","-61560"
"89","Machines","Asset Disposed","229500"
"89","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"89","Salary Expense","Cash Payment - Salary Expense","-39799"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14335","-356"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 357","-15000"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 367","-15000"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 377","-15000"
"89","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 380","-15000"
"89","Retail","Revenue - Retail Sales New York - Red Wine","29045"
"89","Retail","Revenue - Retail Sales New York - White Wine","17244"
"89","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","10170"
"89","Retail","Revenue - Retail Sales Detroit - Red Wine","14912"
"89","Retail","Revenue - Retail Sales Detroit - White Wine","10255"
"89","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","8460"
"89","Retail","Revenue - Retail Sales Los Angeles - Red Wine","10881"
"89","Retail","Revenue - Retail Sales Los Angeles - White Wine","10955"
"89","Retail","Revenue - Retail Sales San Francisco - Sparkling Wine","3933"
"89","Retail","Revenue - Retail Sales San Francisco - Red Wine","7475"
"89","Retail","Revenue - Retail Sales San Francisco - White Wine","5244"
"89","Retail","Revenue - Retail Sales Washington, D.C. - Sparkling Wine","2912"
"89","Retail","Revenue - Retail Sales Washington, D.C. - Red Wine","4788"
"89","Retail","Revenue - Retail Sales Washington, D.C. - White Wine","3468"
"89","Retail","Revenue - Retail Sales Miami - Sparkling Wine","4238"
"89","Retail","Revenue - Retail Sales Miami - Red Wine","4719"
"89","Retail","Revenue - Retail Sales Miami - White Wine","4381"
"89","Rental Expense","Cash Payment - Rental - Chicago","-4800"
"89","Rental Expense","Cash Payment - Rental - New York","-5360"
"89","Rental Expense","Cash Payment - Rental - Detroit","-2000"
"89","Rental Expense","Cash Payment - Rental - Los Angeles","-2160"
"89","Rental Expense","Cash Payment - Rental - San Francisco","-4480"
"89","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4880"
"89","Rental Expense","Cash Payment - Rental - Miami","-2240"
"88","Sales E Commerce","Revenue - ECM SO ID: 13944","10279"
"88","Sales E Commerce","Revenue - ECM SO ID: 13954","13853"
"88","Human Resource Expense","Counselled","-2000"
"88","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"88","Salary Expense","Cash Payment - Salary Expense","-39799"
"88","Prepaid","Cash Payment - Web Buy - Payment to Escrow PO:14329","-18000"
"88","Prepaid","Cash Payment - Web Buy - Payment to Escrow PO:14336","-18000"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14131","-352"
"88","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14132","-292"
"88","Retail","Revenue - Retail Sales New York - Sparkling Wine","14368"
"88","Retail","Revenue - Retail Sales New York - Red Wine","31154"
"88","Retail","Revenue - Retail Sales New York - White Wine","17784"
"88","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","1920"
"88","Retail","Revenue - Retail Sales Detroit - Red Wine","15360"
"88","Retail","Revenue - Retail Sales Detroit - White Wine","9660"
"88","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","9468"
"88","Retail","Revenue - Retail Sales Los Angeles - Red Wine","9920"
"88","Retail","Revenue - Retail Sales Los Angeles - White Wine","10640"
"88","Retail","Revenue - Retail Sales San Francisco - Sparkling Wine","3887"
"88","Retail","Revenue - Retail Sales San Francisco - Red Wine","7475"
"88","Retail","Revenue - Retail Sales San Francisco - White Wine","5359"
"88","Retail","Revenue - Retail Sales Washington, D.C. - Sparkling Wine","2800"
"88","Retail","Revenue - Retail Sales Washington, D.C. - Red Wine","4824"
"88","Retail","Revenue - Retail Sales Washington, D.C. - White Wine","3230"
"88","Retail","Revenue - Retail Sales Miami - Sparkling Wine","4641"
"88","Retail","Revenue - Retail Sales Miami - Red Wine","4537"
"88","Retail","Revenue - Retail Sales Miami - White Wine","4472"
"88","Services","Revenue - Service Sales Order ID: 13055","160000"
"88","Rental Expense","Cash Payment - Rental - Chicago","-4800"
"88","Rental Expense","Cash Payment - Rental - New York","-5360"
"88","Rental Expense","Cash Payment - Rental - Detroit","-2000"
"88","Rental Expense","Cash Payment - Rental - Los Angeles","-2160"
"88","Rental Expense","Cash Payment - Rental - San Francisco","-4480"
"88","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4880"
"88","Rental Expense","Cash Payment - Rental - Miami","-2240"
"87","Sales E Commerce","Revenue - ECM SO ID: 13764","1397"
"87","Sales E Commerce","Revenue - ECM SO ID: 13777","988"
"87","Sales E Commerce","Revenue - ECM SO ID: 13779","734"
"87","Human Resource Expense","Counselled","-2000"
"87","Human Resource Expense","Counselled","-2000"
"87","Human Resource Expense","Counselled","-2000"
"87","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"87","Salary Expense","Cash Payment - Salary Expense","-39781"
"87","Prepaid","Cash Payment - Web Buy - Payment to Escrow PO:14149","-17289"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13944","-308"
"87","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13954","-416"
"87","Retail","Revenue - Retail Sales New York - Sparkling Wine","13440"
"87","Retail","Revenue - Retail Sales New York - Red Wine","31857"
"87","Retail","Revenue - Retail Sales New York - White Wine","18360"
"87","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","9690"
"87","Retail","Revenue - Retail Sales Detroit - Red Wine","14624"
"87","Retail","Revenue - Retail Sales Detroit - White Wine","9940"
"87","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","9216"
"87","Retail","Revenue - Retail Sales Los Angeles - Red Wine","10633"
"87","Retail","Revenue - Retail Sales Los Angeles - White Wine","10640"
"87","Retail","Revenue - Retail Sales San Francisco - Sparkling Wine","4209"
"87","Retail","Revenue - Retail Sales San Francisco - Red Wine","7400"
"87","Retail","Revenue - Retail Sales San Francisco - White Wine","5083"
"87","Retail","Revenue - Retail Sales Washington, D.C. - Sparkling Wine","2688"
"87","Retail","Revenue - Retail Sales Washington, D.C. - Red Wine","4464"
"87","Retail","Revenue - Retail Sales Washington, D.C. - White Wine","3604"
"87","Retail","Revenue - Retail Sales Miami - Sparkling Wine","4459"
"87","Retail","Revenue - Retail Sales Miami - Red Wine","4394"
"87","Retail","Revenue - Retail Sales Miami - White Wine","4381"
"87","Rental Expense","Cash Payment - Rental - Chicago","-4800"
"87","Rental Expense","Cash Payment - Rental - New York","-5360"
"87","Rental Expense","Cash Payment - Rental - Detroit","-2000"
"87","Rental Expense","Cash Payment - Rental - Los Angeles","-2160"
"87","Rental Expense","Cash Payment - Rental - San Francisco","-4480"
"87","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4880"
"87","Rental Expense","Cash Payment - Rental - Miami","-2240"
"86","Sales E Commerce","Revenue - ECM SO ID: 13578","10714"
"86","Human Resource Expense","Counselled","-2000"
"86","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"86","Salary Expense","Cash Payment - Salary Expense","-39655"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13764","-42"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13777","-30"
"86","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13779","-22"
"86","Retail","Revenue - Retail Sales New York - Sparkling Wine","14304"
"86","Retail","Revenue - Retail Sales New York - Red Wine","30562"
"86","Retail","Revenue - Retail Sales New York - White Wine","17064"
"86","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","9390"
"86","Retail","Revenue - Retail Sales Detroit - Red Wine","15232"
"86","Retail","Revenue - Retail Sales Detroit - White Wine","10255"
"86","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","8676"
"86","Retail","Revenue - Retail Sales Los Angeles - Red Wine","10447"
"86","Retail","Revenue - Retail Sales Los Angeles - White Wine","11165"
"86","Retail","Revenue - Retail Sales San Francisco - Sparkling Wine","3584"
"86","Retail","Revenue - Retail Sales San Francisco - Red Wine","7854"
"86","Retail","Revenue - Retail Sales San Francisco - White Wine","6154"
"86","Retail","Revenue - Retail Sales Washington, D.C. - Sparkling Wine","2772"
"86","Retail","Revenue - Retail Sales Washington, D.C. - Red Wine","4788"
"86","Retail","Revenue - Retail Sales Washington, D.C. - White Wine","3332"
"86","Retail","Revenue - Retail Sales Miami - Sparkling Wine","4650"
"86","Retail","Revenue - Retail Sales Miami - Red Wine","5520"
"86","Retail","Revenue - Retail Sales Miami - White Wine","5400"
"86","Rental Expense","Cash Payment - Rental - Chicago","-4800"
"86","Rental Expense","Cash Payment - Rental - New York","-5360"
"86","Rental Expense","Cash Payment - Rental - Detroit","-2000"
"86","Rental Expense","Cash Payment - Rental - Los Angeles","-2160"
"86","Rental Expense","Cash Payment - Rental - San Francisco","-4480"
"86","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4880"
"86","Rental Expense","Cash Payment - Rental - Miami","-2240"
"85","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13233 ","-114400"
"85","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13233 ","-170016"
"85","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13233 ","-591360"
"85","Human Resource Expense","Cash Payment - Staff Recruiting","-15000"
"85","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13580 ","-54315"
"85","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13580 ","-150634"
"85","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13580 ","-111158"
"85","Sales E Commerce","Revenue - ECM SO ID: 13227","12142"
"85","Wholesales (B2B)","Revenue - B2B SO ID: 12140","731000"
"85","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 12140","-20000"
"85","Sales E Commerce","Revenue - ECM SO ID: 13404","11612"
"85","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13734 ","-69696"
"85","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13734 ","-165792"
"85","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13734 ","-380160"
"85","Human Resource Expense","Counselled","-2000"
"85","Human Resource Expense","Cash Payment - Staff Recruiting","-15000"
"85","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"85","Salary Expense","Cash Payment - Salary Expense","-39601"
"85","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13578","-321"
"85","Retail","Revenue - Retail Sales New York - Sparkling Wine","10416"
"85","Retail","Revenue - Retail Sales New York - Red Wine","23814"
"85","Retail","Revenue - Retail Sales New York - White Wine","12985"
"85","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","7525"
"85","Retail","Revenue - Retail Sales Detroit - Red Wine","11440"
"85","Retail","Revenue - Retail Sales Detroit - White Wine","7470"
"85","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","7238"
"85","Retail","Revenue - Retail Sales Los Angeles - Red Wine","8200"
"85","Retail","Revenue - Retail Sales Los Angeles - White Wine","8987"
"85","Retail","Revenue - Retail Sales San Francisco - Sparkling Wine","3240"
"85","Retail","Revenue - Retail Sales San Francisco - Red Wine","6300"
"85","Retail","Revenue - Retail Sales San Francisco - White Wine","4500"
"85","Retail","Revenue - Retail Sales Washington, D.C. - Sparkling Wine","2160"
"85","Retail","Revenue - Retail Sales Washington, D.C. - Red Wine","3780"
"85","Retail","Revenue - Retail Sales Washington, D.C. - White Wine","2576"
"85","Retail","Revenue - Retail Sales Miami - Sparkling Wine","6734"
"85","Retail","Revenue - Retail Sales Miami - Red Wine","7291"
"85","Retail","Revenue - Retail Sales Miami - White Wine","7032"
"85","Rental Expense","Cash Payment - Rental - Chicago","-4800"
"85","Rental Expense","Cash Payment - Rental - New York","-5360"
"85","Rental Expense","Cash Payment - Rental - Detroit","-2000"
"85","Rental Expense","Cash Payment - Rental - Los Angeles","-2160"
"85","Rental Expense","Cash Payment - Rental - San Francisco","-4480"
"85","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4880"
"85","Rental Expense","Cash Payment - Rental - Miami","-2240"
"84","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13314 ","-53250"
"84","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13314 ","-97526"
"84","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13314 ","-113316"
"84","Sales E Commerce","Revenue - ECM SO ID: 13226","11733"
"84","Human Resource Expense","Counselled","-2000"
"84","Human Resource Expense","Counselled","-2000"
"84","Human Resource Expense","Counselled","-2000"
"84","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"84","Salary Expense","Cash Payment - Salary Expense","-38626"
"84","Prepaid","Cash Payment - Web Buy - Payment to Escrow PO:13599","-28682"
"84","Prepaid","Cash Payment - Web Buy - Payment to Escrow PO:13602","-33599"
"84","Prepaid","Cash Payment - Web Buy - Payment to Escrow PO:13609","-29507"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13227","-364"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13404","-348"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 314","-15000"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 333","-15000"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 402","-15000"
"84","Retail","Revenue - Retail Sales New York - Sparkling Wine","9456"
"84","Retail","Revenue - Retail Sales New York - Red Wine","23814"
"84","Retail","Revenue - Retail Sales New York - White Wine","11872"
"84","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","5805"
"84","Retail","Revenue - Retail Sales Detroit - Red Wine","8316"
"84","Retail","Revenue - Retail Sales Detroit - White Wine","6210"
"84","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","7050"
"84","Retail","Revenue - Retail Sales Los Angeles - Red Wine","9000"
"84","Retail","Revenue - Retail Sales Los Angeles - White Wine","9761"
"84","Retail","Revenue - Retail Sales San Francisco - Sparkling Wine","3040"
"84","Retail","Revenue - Retail Sales San Francisco - Red Wine","6048"
"84","Retail","Revenue - Retail Sales San Francisco - White Wine","4725"
"84","Retail","Revenue - Retail Sales Washington, D.C. - Sparkling Wine","2080"
"84","Retail","Revenue - Retail Sales Washington, D.C. - Red Wine","3780"
"84","Retail","Revenue - Retail Sales Washington, D.C. - White Wine","2668"
"84","Retail","Revenue - Retail Sales Miami - Sparkling Wine","6942"
"84","Retail","Revenue - Retail Sales Miami - Red Wine","6601"
"84","Retail","Revenue - Retail Sales Miami - White Wine","6696"
"84","Rental Expense","Cash Payment - Rental - Chicago","-4800"
"84","Rental Expense","Cash Payment - Rental - New York","-5360"
"84","Rental Expense","Cash Payment - Rental - Detroit","-2000"
"84","Rental Expense","Cash Payment - Rental - Los Angeles","-2160"
"84","Rental Expense","Cash Payment - Rental - San Francisco","-4480"
"84","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4880"
"84","Rental Expense","Cash Payment - Rental - Miami","-2240"
"83","Wholesales (B2B)","Revenue - B2B SO ID: 12310","1407000"
"83","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 12310","-9000"
"83","Sales E Commerce","Revenue - ECM SO ID: 12876","8686"
"83","Sales E Commerce","Revenue - ECM SO ID: 13001","10243"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13403 ","-130356"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13403 ","-150634"
"83","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13403 ","-166736"
"83","Human Resource Expense","Counselled","-2000"
"83","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"83","Salary Expense","Cash Payment - Salary Expense","-38582"
"83","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13226","-352"
"83","Retail","Revenue - Retail Sales New York - Sparkling Wine","9840"
"83","Retail","Revenue - Retail Sales New York - Red Wine","23324"
"83","Retail","Revenue - Retail Sales New York - White Wine","12614"
"83","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","5375"
"83","Retail","Revenue - Retail Sales Detroit - Red Wine","9284"
"83","Retail","Revenue - Retail Sales Detroit - White Wine","5850"
"83","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","6580"
"83","Retail","Revenue - Retail Sales Los Angeles - Red Wine","9000"
"83","Retail","Revenue - Retail Sales Los Angeles - White Wine","8901"
"83","Retail","Revenue - Retail Sales San Francisco - Sparkling Wine","2960"
"83","Retail","Revenue - Retail Sales San Francisco - Red Wine","6090"
"83","Retail","Revenue - Retail Sales San Francisco - White Wine","4500"
"83","Retail","Revenue - Retail Sales Washington, D.C. - Sparkling Wine","2040"
"83","Retail","Revenue - Retail Sales Washington, D.C. - Red Wine","4116"
"83","Retail","Revenue - Retail Sales Washington, D.C. - White Wine","2852"
"83","Retail","Revenue - Retail Sales Miami - Sparkling Wine","6942"
"83","Retail","Revenue - Retail Sales Miami - Red Wine","7153"
"83","Retail","Revenue - Retail Sales Miami - White Wine","7320"
"83","Rental Expense","Cash Payment - Rental - Chicago","-4800"
"83","Rental Expense","Cash Payment - Rental - New York","-5360"
"83","Rental Expense","Cash Payment - Rental - Detroit","-2000"
"83","Rental Expense","Cash Payment - Rental - Los Angeles","-2160"
"83","Rental Expense","Cash Payment - Rental - San Francisco","-4480"
"83","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4880"
"83","Rental Expense","Cash Payment - Rental - Miami","-2240"
"82","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13041 ","-78000"
"82","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13041 ","-144900"
"82","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13041 ","-321000"
"82","Sales E Commerce","Revenue - ECM SO ID: 12855","18749"
"82","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13201 ","-60705"
"82","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13201 ","-150634"
"82","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13201 ","-60420"
"82","Human Resource Expense","Staff Transfer","-15000"
"82","Human Resource Expense","Counselled","-2000"
"82","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13221 ","-45000"
"82","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13221 ","-97526"
"82","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 13221 ","-113316"
"82","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"82","Salary Expense","Cash Payment - Salary Expense","-38504"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12876","-261"
"82","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 13001","-307"
"82","Retail","Revenue - Retail Sales New York - Sparkling Wine","70944"
"82","Retail","Revenue - Retail Sales New York - Red Wine","171647"
"82","Retail","Revenue - Retail Sales New York - White Wine","83369"
"82","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","38700"
"82","Retail","Revenue - Retail Sales Detroit - Red Wine","57904"
"82","Retail","Revenue - Retail Sales Detroit - White Wine","43605"
"82","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","45402"
"82","Retail","Revenue - Retail Sales Los Angeles - Red Wine","58120"
"82","Retail","Revenue - Retail Sales Los Angeles - White Wine","68069"
"82","Retail","Revenue - Retail Sales San Francisco - Sparkling Wine","21960"
"82","Retail","Revenue - Retail Sales San Francisco - Red Wine","47166"
"82","Retail","Revenue - Retail Sales San Francisco - White Wine","33705"
"82","Retail","Revenue - Retail Sales Washington, D.C. - Sparkling Wine","14840"
"82","Retail","Revenue - Retail Sales Washington, D.C. - Red Wine","27258"
"82","Retail","Revenue - Retail Sales Washington, D.C. - White Wine","19458"
"82","Retail","Revenue - Retail Sales Miami - Sparkling Wine","49036"
"82","Retail","Revenue - Retail Sales Miami - Red Wine","47219"
"82","Retail","Revenue - Retail Sales Miami - White Wine","48288"
"82","Services","Revenue - Service Sales Order ID: 12120","160000"
"82","Rental Expense","Cash Payment - Rental - Chicago","-4800"
"82","Rental Expense","Cash Payment - Rental - New York","-5360"
"82","Rental Expense","Cash Payment - Rental - Detroit","-2000"
"82","Rental Expense","Cash Payment - Rental - Los Angeles","-2160"
"82","Rental Expense","Cash Payment - Rental - San Francisco","-4480"
"82","Rental Expense","Cash Payment - Rental - Washington, D.C.","-4880"
"82","Rental Expense","Cash Payment - Rental - Miami","-2240"
"81","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12671 ","-75000"
"81","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12671 ","-150409"
"81","Procurement Finished Goods","Cash Payment - Procurement Finished Goods - PO ID: 12671 ","-95950"
"81","Sales E Commerce","Revenue - ECM SO ID: 12573","10649"
"81","Wholesales (B2B)","Revenue - B2B SO ID: 12653","369000"
"81","Human Resource Expense","Counselled","-2000"
"81","Human Resource Expense","Counselled","-2000"
"81","Human Resource Expense","Counselled","-2000"
"81","Marketing Expense","Cash Payment - Marketing Report Subscription","-20000"
"81","Salary Expense","Cash Payment - Salary Expense","-38112"
"81","Prepaid","Cash Payment - Web Buy - Payment to Escrow PO:13058","-26910"
"81","Prepaid","Cash Payment - Web Buy - Payment to Escrow PO:13063","-30775"
"81","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12855","-562"
"81","Retail","Revenue - Retail Sales New York - Sparkling Wine","66624"
"81","Retail","Revenue - Retail Sales New York - Red Wine","171745"
"81","Retail","Revenue - Retail Sales New York - White Wine","85118"
"81","Retail","Revenue - Retail Sales Detroit - Sparkling Wine","50568"
"81","Retail","Revenue - Retail Sales Detroit - Red Wine","85800"
"81","Retail","Revenue - Retail Sales Detroit - White Wine","55125"
"81","Retail","Revenue - Retail Sales Los Angeles - Sparkling Wine","38399"
"81","Retail","Revenue - Retail Sales Los Angeles - Red Wine","44960"
"81","Retail","Revenue - Retail Sales Los Angeles - White Wine","50095"
"81","Retail","Revenue - Retail Sales San Francisco - Sparkling Wine","21080"
"81","Retail","Revenue - Retail Sales San Francisco - Red Wine","42714"
"81","Retail","Revenue - Retail Sales San Francisco - White Wine","34020"
"81","Retail","Revenue - Retail Sales Washington, D.C. - Sparkling Wine","15120"
"81","Retail","Revenue - Retail Sales Washington, D.C. - Red Wine","28980"
"81","Retail","Revenue - Retail Sales Washington, D.C. - White Wine","19642"
"81","Retail","Revenue - Retail Sales Miami - Sparkling Wine","44772"
"81","Retail","Revenue - Retail Sales Miami - Red Wine","49634"
"81","Retail","Revenue - Retail Sales Miami - White Wine","51240"
