[HIGHEST OVERHEAD] SALARY EXPENSE:26.15%
[CASH DEFICIT] DAY: 89 , AMOUNT: USD63901
[CASH DEFICIT] DAY: 85 , AMOUNT: USD1048931
[CASH DEFICIT] DAY: 84 , AMOUNT: USD346541
[CASH DEFICIT] DAY: 82 , AMOUNT: USD48054
[CASH DEFICIT] DAY: 80 , AMOUNT: USD181835
[CASH DEFICIT] DAY: 75 , AMOUNT: USD881414
[CASH DEFICIT] DAY: 73 , AMOUNT: USD937582
[CASH DEFICIT] DAY: 69 , AMOUNT: USD603663
[CASH DEFICIT] DAY: 66 , AMOUNT: USD98915
[CASH DEFICIT] DAY: 64 , AMOUNT: USD192986
[CASH DEFICIT] DAY: 63 , AMOUNT: USD544544
[CASH DEFICIT] DAY: 62 , AMOUNT: USD91709
[CASH DEFICIT] DAY: 61 , AMOUNT: USD74953
[CASH DEFICIT] DAY: 52 , AMOUNT: USD546642
[CASH DEFICIT] DAY: 50 , AMOUNT: USD319253
[CASH DEFICIT] DAY: 49 , AMOUNT: USD78923
[CASH DEFICIT] DAY: 48 , AMOUNT: USD339258
[CASH DEFICIT] DAY: 47 , AMOUNT: USD753623
[CASH DEFICIT] DAY: 43 , AMOUNT: USD763034
[CASH DEFICIT] DAY: 40 , AMOUNT: USD956253
[CASH DEFICIT] DAY: 35 , AMOUNT: USD696834
[CASH DEFICIT] DAY: 34 , AMOUNT: USD590626
[CASH DEFICIT] DAY: 33 , AMOUNT: USD431411
[CASH DEFICIT] DAY: 29 , AMOUNT: USD211972
[CASH DEFICIT] DAY: 28 , AMOUNT: USD621902
[CASH DEFICIT] DAY: 25 , AMOUNT: USD333860
[CASH DEFICIT] DAY: 23 , AMOUNT: USD565396
[CASH DEFICIT] DAY: 21 , AMOUNT: USD197994
[CASH DEFICIT] DAY: 19 , AMOUNT: USD770970
[CASH DEFICIT] DAY: 17 , AMOUNT: USD1921825
[CASH DEFICIT] DAY: 16 , AMOUNT: USD420759
[CASH DEFICIT] DAY: 11 , AMOUNT: USD436037
[CASH DEFICIT] DAY: 7 , AMOUNT: USD2647147
[CASH DEFICIT] DAY: 3 , AMOUNT: USD437675
[CASH DEFICIT] DAY: 2 , AMOUNT: USD228960
[CASH DEFICIT] DAY: 1 , AMOUNT: USD12600
[PROFIT DEFICIT] DAY: 90 , AMOUNT: USD545588.0
[PROFIT DEFICIT] DAY: 89 , AMOUNT: USD95632.0
[PROFIT DEFICIT] DAY: 87 , AMOUNT: USD20044.0
[PROFIT DEFICIT] DAY: 86 , AMOUNT: USD8693.0
[PROFIT DEFICIT] DAY: 85 , AMOUNT: USD204035.0
[PROFIT DEFICIT] DAY: 84 , AMOUNT: USD65458.0
[PROFIT DEFICIT] DAY: 83 , AMOUNT: USD126656.0
[PROFIT DEFICIT] DAY: 72 , AMOUNT: USD36713.0
[PROFIT DEFICIT] DAY: 71 , AMOUNT: USD56832.0
[PROFIT DEFICIT] DAY: 69 , AMOUNT: USD3786.0
[PROFIT DEFICIT] DAY: 65 , AMOUNT: USD51406.0
[PROFIT DEFICIT] DAY: 63 , AMOUNT: USD77995.0
[PROFIT DEFICIT] DAY: 62 , AMOUNT: USD164128.0
[PROFIT DEFICIT] DAY: 61 , AMOUNT: USD43600.0
[PROFIT DEFICIT] DAY: 59 , AMOUNT: USD34795.0
[PROFIT DEFICIT] DAY: 54 , AMOUNT: USD59796.0
[PROFIT DEFICIT] DAY: 52 , AMOUNT: USD64752.0
[PROFIT DEFICIT] DAY: 51 , AMOUNT: USD92273.0
[PROFIT DEFICIT] DAY: 50 , AMOUNT: USD56773.0
[PROFIT DEFICIT] DAY: 49 , AMOUNT: USD2599.0
[PROFIT DEFICIT] DAY: 48 , AMOUNT: USD77791.0
[PROFIT DEFICIT] DAY: 40 , AMOUNT: USD16791.0
[PROFIT DEFICIT] DAY: 36 , AMOUNT: USD13259.0
[PROFIT DEFICIT] DAY: 35 , AMOUNT: USD76124.0
[PROFIT DEFICIT] DAY: 34 , AMOUNT: USD13928.0
[PROFIT DEFICIT] DAY: 33 , AMOUNT: USD24148.0
[PROFIT DEFICIT] DAY: 27 , AMOUNT: USD13486.0
[PROFIT DEFICIT] DAY: 25 , AMOUNT: USD11562.0
[PROFIT DEFICIT] DAY: 23 , AMOUNT: USD5056.0
[PROFIT DEFICIT] DAY: 21 , AMOUNT: USD4148.0
[PROFIT DEFICIT] DAY: 20 , AMOUNT: USD6141.0
[PROFIT DEFICIT] DAY: 19 , AMOUNT: USD3774.0
[PROFIT DEFICIT] DAY: 18 , AMOUNT: USD4192.0
[PROFIT DEFICIT] DAY: 17 , AMOUNT: USD32437.0
[PROFIT DEFICIT] DAY: 9 , AMOUNT: USD26439.0
[PROFIT DEFICIT] DAY: 8 , AMOUNT: USD26060.0
[PROFIT DEFICIT] DAY: 7 , AMOUNT: USD26455.0
[PROFIT DEFICIT] DAY: 6 , AMOUNT: USD9935.0
[PROFIT DEFICIT] DAY: 5 , AMOUNT: USD8701.0
[PROFIT DEFICIT] DAY: 4 , AMOUNT: USD1304.0
[PROFIT DEFICIT] DAY: 2 , AMOUNT: USD228960.0
[PROFIT DEFICIT] DAY: 1 , AMOUNT: USD12600.0
